70035 silly lifecycle locate-path@2.0.0~preinstall: no script for preinstall, continuing
71806 info linkStuff es6-iterator@2.0.3
71807 silly linkStuff es6-iterator@2.0.3 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71808 verbose linkBins es6-iterator@2.0.3
71809 verbose linkMans es6-iterator@2.0.3
71810 silly build es5-ext@0.10.37
71811 info linkStuff es5-ext@0.10.37
71812 silly linkStuff es5-ext@0.10.37 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71813 verbose linkBins es5-ext@0.10.37
71814 verbose linkMans es5-ext@0.10.37
71815 silly build d@1.0.0
71816 info linkStuff d@1.0.0
71817 silly linkStuff d@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71818 verbose linkBins d@1.0.0
71819 verbose linkMans d@1.0.0
71820 silly build es6-weak-map@2.0.2
71821 info linkStuff es6-weak-map@2.0.2
71822 silly linkStuff es6-weak-map@2.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71823 verbose linkBins es6-weak-map@2.0.2
71824 verbose linkMans es6-weak-map@2.0.2
71825 silly build escape-html@1.0.3
71826 info linkStuff escape-html@1.0.3
71827 silly linkStuff escape-html@1.0.3 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71828 verbose linkBins escape-html@1.0.3
71829 verbose linkMans escape-html@1.0.3
71830 silly build escape-string-regexp@1.0.5
71831 info linkStuff escape-string-regexp@1.0.5
71832 silly linkStuff escape-string-regexp@1.0.5 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71833 verbose linkBins escape-string-regexp@1.0.5
71834 verbose linkMans escape-string-regexp@1.0.5
71835 silly build esprima@2.7.3
71836 info linkStuff esprima@2.7.3
71837 silly linkStuff esprima@2.7.3 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71838 verbose linkBins esprima@2.7.3
71839 verbose link bins [ { esparse: './bin/esparse.js',
71839 verbose link bins     esvalidate: './bin/esvalidate.js' },
71839 verbose link bins   'D:\\Users\\quancongjin550\\Desktop\\vsf-demo\\demo\\node_modules\\.bin',
71839 verbose link bins   false ]
71840 verbose linkMans esprima@2.7.3
71841 silly build estraverse@4.2.0
71842 info linkStuff estraverse@4.2.0
71843 silly linkStuff estraverse@4.2.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71844 verbose linkBins estraverse@4.2.0
71845 verbose linkMans estraverse@4.2.0
71846 silly build esutils@2.0.2
71847 info linkStuff esutils@2.0.2
71848 silly linkStuff esutils@2.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71849 verbose linkBins esutils@2.0.2
71850 verbose linkMans esutils@2.0.2
71851 silly build etag@1.8.1
71852 info linkStuff etag@1.8.1
71853 silly linkStuff etag@1.8.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71854 verbose linkBins etag@1.8.1
71855 verbose linkMans etag@1.8.1
71856 silly build event-emitter@0.3.5
71857 info linkStuff event-emitter@0.3.5
71858 silly linkStuff event-emitter@0.3.5 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71859 verbose linkBins event-emitter@0.3.5
71860 verbose linkMans event-emitter@0.3.5
71861 silly build es6-set@0.1.5
71862 info linkStuff es6-set@0.1.5
71863 silly linkStuff es6-set@0.1.5 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71864 verbose linkBins es6-set@0.1.5
71865 verbose linkMans es6-set@0.1.5
71866 silly build es6-map@0.1.5
71867 info linkStuff es6-map@0.1.5
71868 silly linkStuff es6-map@0.1.5 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71869 verbose linkBins es6-map@0.1.5
71870 verbose linkMans es6-map@0.1.5
71871 silly build events@1.1.1
71872 info linkStuff events@1.1.1
71873 silly linkStuff events@1.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71874 verbose linkBins events@1.1.1
71875 verbose linkMans events@1.1.1
71876 silly build setprototypeof@1.1.0
71877 info linkStuff setprototypeof@1.1.0
71878 silly linkStuff setprototypeof@1.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\express\node_modules as its parent node_modules
71879 verbose linkBins setprototypeof@1.1.0
71880 verbose linkMans setprototypeof@1.1.0
71881 silly build statuses@1.3.1
71882 info linkStuff statuses@1.3.1
71883 silly linkStuff statuses@1.3.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\express\node_modules as its parent node_modules
71884 verbose linkBins statuses@1.3.1
71885 verbose linkMans statuses@1.3.1
71886 silly build extend@3.0.1
71887 info linkStuff extend@3.0.1
71888 silly linkStuff extend@3.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71889 verbose linkBins extend@3.0.1
71890 verbose linkMans extend@3.0.1
71891 silly build extsprintf@1.3.0
71892 info linkStuff extsprintf@1.3.0
71893 silly linkStuff extsprintf@1.3.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71894 verbose linkBins extsprintf@1.3.0
71895 verbose linkMans extsprintf@1.3.0
71896 silly build fast-deep-equal@1.0.0
71897 info linkStuff fast-deep-equal@1.0.0
71898 silly linkStuff fast-deep-equal@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71899 verbose linkBins fast-deep-equal@1.0.0
71900 verbose linkMans fast-deep-equal@1.0.0
71901 silly build fast-json-stable-stringify@2.0.0
71902 info linkStuff fast-json-stable-stringify@2.0.0
71903 silly linkStuff fast-json-stable-stringify@2.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71904 verbose linkBins fast-json-stable-stringify@2.0.0
71905 verbose linkMans fast-json-stable-stringify@2.0.0
71906 silly build fastparse@1.1.1
71907 info linkStuff fastparse@1.1.1
71908 silly linkStuff fastparse@1.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71909 verbose linkBins fastparse@1.1.1
71910 verbose linkMans fastparse@1.1.1
71911 silly build filename-regex@2.0.1
71912 info linkStuff filename-regex@2.0.1
71913 silly linkStuff filename-regex@2.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71914 verbose linkBins filename-regex@2.0.1
71915 verbose linkMans filename-regex@2.0.1
71916 silly build isarray@1.0.0
71917 info linkStuff isarray@1.0.0
71918 silly linkStuff isarray@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\fill-range\node_modules as its parent node_modules
71919 verbose linkBins isarray@1.0.0
71920 verbose linkMans isarray@1.0.0
71921 silly build isobject@2.1.0
71922 info linkStuff isobject@2.1.0
71923 silly linkStuff isobject@2.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\fill-range\node_modules as its parent node_modules
71924 verbose linkBins isobject@2.1.0
71925 verbose linkMans isobject@2.1.0
71926 silly build statuses@1.3.1
71927 info linkStuff statuses@1.3.1
71928 silly linkStuff statuses@1.3.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\finalhandler\node_modules as its parent node_modules
71929 verbose linkBins statuses@1.3.1
71930 verbose linkMans statuses@1.3.1
71931 silly build flatten@1.0.2
71932 info linkStuff flatten@1.0.2
71933 silly linkStuff flatten@1.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71934 verbose linkBins flatten@1.0.2
71935 verbose linkMans flatten@1.0.2
71936 silly build for-in@1.0.2
71937 info linkStuff for-in@1.0.2
71938 silly linkStuff for-in@1.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71939 verbose linkBins for-in@1.0.2
71940 verbose linkMans for-in@1.0.2
71941 silly build for-own@1.0.0
71942 info linkStuff for-own@1.0.0
71943 silly linkStuff for-own@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71944 verbose linkBins for-own@1.0.0
71945 verbose linkMans for-own@1.0.0
71946 silly build forever-agent@0.6.1
71947 info linkStuff forever-agent@0.6.1
71948 silly linkStuff forever-agent@0.6.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71949 verbose linkBins forever-agent@0.6.1
71950 verbose linkMans forever-agent@0.6.1
71951 silly build forwarded@0.1.2
71952 info linkStuff forwarded@0.1.2
71953 silly linkStuff forwarded@0.1.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71954 verbose linkBins forwarded@0.1.2
71955 verbose linkMans forwarded@0.1.2
71956 silly build fresh@0.5.2
71957 info linkStuff fresh@0.5.2
71958 silly linkStuff fresh@0.5.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71959 verbose linkBins fresh@0.5.2
71960 verbose linkMans fresh@0.5.2
71961 silly build fs.realpath@1.0.0
71962 info linkStuff fs.realpath@1.0.0
71963 silly linkStuff fs.realpath@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71964 verbose linkBins fs.realpath@1.0.0
71965 verbose linkMans fs.realpath@1.0.0
71966 silly build function-bind@1.1.1
71967 info linkStuff function-bind@1.1.1
71968 silly linkStuff function-bind@1.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71969 verbose linkBins function-bind@1.1.1
71970 verbose linkMans function-bind@1.1.1
71971 silly build generate-function@2.0.0
71972 info linkStuff generate-function@2.0.0
71973 silly linkStuff generate-function@2.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71974 verbose linkBins generate-function@2.0.0
71975 verbose linkMans generate-function@2.0.0
71976 silly build get-caller-file@1.0.2
71977 info linkStuff get-caller-file@1.0.2
71978 silly linkStuff get-caller-file@1.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71979 verbose linkBins get-caller-file@1.0.2
71980 verbose linkMans get-caller-file@1.0.2
71981 silly build get-stdin@4.0.1
71982 info linkStuff get-stdin@4.0.1
71983 silly linkStuff get-stdin@4.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71984 verbose linkBins get-stdin@4.0.1
71985 verbose linkMans get-stdin@4.0.1
71986 silly build get-stream@3.0.0
71987 info linkStuff get-stream@3.0.0
71988 silly linkStuff get-stream@3.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71989 verbose linkBins get-stream@3.0.0
71990 verbose linkMans get-stream@3.0.0
71991 silly build assert-plus@1.0.0
71992 info linkStuff assert-plus@1.0.0
71993 silly linkStuff assert-plus@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\getpass\node_modules as its parent node_modules
71994 verbose linkBins assert-plus@1.0.0
71995 verbose linkMans assert-plus@1.0.0
71996 silly build getpass@0.1.7
71997 info linkStuff getpass@0.1.7
71998 silly linkStuff getpass@0.1.7 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
71999 verbose linkBins getpass@0.1.7
72000 verbose linkMans getpass@0.1.7
72001 silly build globals@9.18.0
72002 info linkStuff globals@9.18.0
72003 silly linkStuff globals@9.18.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72004 verbose linkBins globals@9.18.0
72005 verbose linkMans globals@9.18.0
72006 silly build graceful-fs@4.1.11
72007 info linkStuff graceful-fs@4.1.11
72008 silly linkStuff graceful-fs@4.1.11 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72009 verbose linkBins graceful-fs@4.1.11
72010 verbose linkMans graceful-fs@4.1.11
72011 silly build has@1.0.1
72012 info linkStuff has@1.0.1
72013 silly linkStuff has@1.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72014 verbose linkBins has@1.0.1
72015 verbose linkMans has@1.0.1
72016 silly build colormin@1.1.2
72017 info linkStuff colormin@1.1.2
72018 silly linkStuff colormin@1.1.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72019 verbose linkBins colormin@1.1.2
72020 verbose linkMans colormin@1.1.2
72021 silly build has-ansi@2.0.0
72022 info linkStuff has-ansi@2.0.0
72023 silly linkStuff has-ansi@2.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72024 verbose linkBins has-ansi@2.0.0
72025 verbose linkMans has-ansi@2.0.0
72026 silly build has-flag@1.0.0
72027 info linkStuff has-flag@1.0.0
72028 silly linkStuff has-flag@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72029 verbose linkBins has-flag@1.0.0
72030 verbose linkMans has-flag@1.0.0
72031 silly build has-unicode@2.0.1
72032 info linkStuff has-unicode@2.0.1
72033 silly linkStuff has-unicode@2.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72034 verbose linkBins has-unicode@2.0.1
72035 verbose linkMans has-unicode@2.0.1
72036 silly build hash-sum@1.0.2
72037 info linkStuff hash-sum@1.0.2
72038 silly linkStuff hash-sum@1.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72039 verbose linkBins hash-sum@1.0.2
72040 verbose linkMans hash-sum@1.0.2
72041 silly build he@1.1.1
72042 info linkStuff he@1.1.1
72043 silly linkStuff he@1.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72044 verbose linkBins he@1.1.1
72045 verbose link bins [ { he: 'bin/he' },
72045 verbose link bins   'D:\\Users\\quancongjin550\\Desktop\\vsf-demo\\demo\\node_modules\\.bin',
72045 verbose link bins   false ]
72046 verbose linkMans he@1.1.1
72047 silly build hoek@2.16.3
72048 info linkStuff hoek@2.16.3
72049 silly linkStuff hoek@2.16.3 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72050 verbose linkBins hoek@2.16.3
72051 verbose linkMans hoek@2.16.3
72052 silly build boom@2.10.1
72053 info linkStuff boom@2.10.1
72054 silly linkStuff boom@2.10.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72055 verbose linkBins boom@2.10.1
72056 verbose linkMans boom@2.10.1
72057 silly build cryptiles@2.0.5
72058 info linkStuff cryptiles@2.0.5
72059 silly linkStuff cryptiles@2.0.5 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72060 verbose linkBins cryptiles@2.0.5
72061 verbose linkMans cryptiles@2.0.5
72062 silly build hosted-git-info@2.5.0
72063 info linkStuff hosted-git-info@2.5.0
72064 silly linkStuff hosted-git-info@2.5.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72065 verbose linkBins hosted-git-info@2.5.0
72066 verbose linkMans hosted-git-info@2.5.0
72067 silly build html-comment-regex@1.1.1
72068 info linkStuff html-comment-regex@1.1.1
72069 silly linkStuff html-comment-regex@1.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72070 verbose linkBins html-comment-regex@1.1.1
72071 verbose linkMans html-comment-regex@1.1.1
72072 silly build domutils@1.1.6
72073 info linkStuff domutils@1.1.6
72074 silly linkStuff domutils@1.1.6 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\htmlparser2\node_modules as its parent node_modules
72075 verbose linkBins domutils@1.1.6
72076 verbose linkMans domutils@1.1.6
72077 silly build https-browserify@1.0.0
72078 info linkStuff https-browserify@1.0.0
72079 silly linkStuff https-browserify@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72080 verbose linkBins https-browserify@1.0.0
72081 verbose linkMans https-browserify@1.0.0
72082 silly build iconv-lite@0.4.19
72083 info linkStuff iconv-lite@0.4.19
72084 silly linkStuff iconv-lite@0.4.19 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72085 verbose linkBins iconv-lite@0.4.19
72086 verbose linkMans iconv-lite@0.4.19
72087 silly build icss-replace-symbols@1.1.0
72088 info linkStuff icss-replace-symbols@1.1.0
72089 silly linkStuff icss-replace-symbols@1.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72090 verbose linkBins icss-replace-symbols@1.1.0
72091 verbose linkMans icss-replace-symbols@1.1.0
72092 silly build ansi-styles@3.2.0
72093 info linkStuff ansi-styles@3.2.0
72094 silly linkStuff ansi-styles@3.2.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules as its parent node_modules
72095 verbose linkBins ansi-styles@3.2.0
72096 verbose linkMans ansi-styles@3.2.0
72097 silly build has-flag@2.0.0
72098 info linkStuff has-flag@2.0.0
72099 silly linkStuff has-flag@2.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules as its parent node_modules
72100 verbose linkBins has-flag@2.0.0
72101 verbose linkMans has-flag@2.0.0
72102 silly build supports-color@4.5.0
72103 info linkStuff supports-color@4.5.0
72104 silly linkStuff supports-color@4.5.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules\chalk\node_modules as its parent node_modules
72105 verbose linkBins supports-color@4.5.0
72106 verbose linkMans supports-color@4.5.0
72107 silly build chalk@2.3.0
72108 info linkStuff chalk@2.3.0
72109 silly linkStuff chalk@2.3.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules as its parent node_modules
72110 verbose linkBins chalk@2.3.0
72111 verbose linkMans chalk@2.3.0
72112 silly build source-map@0.6.1
72113 info linkStuff source-map@0.6.1
72114 silly linkStuff source-map@0.6.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules as its parent node_modules
72115 verbose linkBins source-map@0.6.1
72116 verbose linkMans source-map@0.6.1
72117 silly build supports-color@5.1.0
72118 info linkStuff supports-color@5.1.0
72119 silly linkStuff supports-color@5.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules as its parent node_modules
72120 verbose linkBins supports-color@5.1.0
72121 verbose linkMans supports-color@5.1.0
72122 silly build postcss@6.0.15
72123 info linkStuff postcss@6.0.15
72124 silly linkStuff postcss@6.0.15 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules\icss-utils\node_modules as its parent node_modules
72125 verbose linkBins postcss@6.0.15
72126 verbose linkMans postcss@6.0.15
72127 silly build icss-utils@2.1.0
72128 info linkStuff icss-utils@2.1.0
72129 silly linkStuff icss-utils@2.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72130 verbose linkBins icss-utils@2.1.0
72131 verbose linkMans icss-utils@2.1.0
72132 silly build ieee754@1.1.8
72133 info linkStuff ieee754@1.1.8
72134 silly linkStuff ieee754@1.1.8 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72135 verbose linkBins ieee754@1.1.8
72136 verbose linkMans ieee754@1.1.8
72137 silly build buffer@4.9.1
72138 info linkStuff buffer@4.9.1
72139 silly linkStuff buffer@4.9.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72140 verbose linkBins buffer@4.9.1
72141 verbose linkMans buffer@4.9.1
72142 silly build in-publish@2.0.0
72143 info linkStuff in-publish@2.0.0
72144 silly linkStuff in-publish@2.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72145 verbose linkBins in-publish@2.0.0
72146 verbose link bins [ { 'in-publish': 'in-publish.js',
72146 verbose link bins     'in-install': 'in-install.js',
72146 verbose link bins     'not-in-publish': 'not-in-publish.js',
72146 verbose link bins     'not-in-install': 'not-in-install.js' },
72146 verbose link bins   'D:\\Users\\quancongjin550\\Desktop\\vsf-demo\\demo\\node_modules\\.bin',
72146 verbose link bins   false ]
72147 verbose linkMans in-publish@2.0.0
72148 silly build indexes-of@1.0.1
72149 info linkStuff indexes-of@1.0.1
72150 silly linkStuff indexes-of@1.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72151 verbose linkBins indexes-of@1.0.1
72152 verbose linkMans indexes-of@1.0.1
72153 silly build indexof@0.0.1
72154 info linkStuff indexof@0.0.1
72155 silly linkStuff indexof@0.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72156 verbose linkBins indexof@0.0.1
72157 verbose linkMans indexof@0.0.1
72158 silly build inherits@2.0.3
72159 info linkStuff inherits@2.0.3
72160 silly linkStuff inherits@2.0.3 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72161 verbose linkBins inherits@2.0.3
72162 verbose linkMans inherits@2.0.3
72163 silly build block-stream@0.0.9
72164 info linkStuff block-stream@0.0.9
72165 silly linkStuff block-stream@0.0.9 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72166 verbose linkBins block-stream@0.0.9
72167 verbose linkMans block-stream@0.0.9
72168 silly build hash-base@2.0.2
72169 info linkStuff hash-base@2.0.2
72170 silly linkStuff hash-base@2.0.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72171 verbose linkBins hash-base@2.0.2
72172 verbose linkMans hash-base@2.0.2
72173 silly build ini@1.3.5
72174 info linkStuff ini@1.3.5
72175 silly linkStuff ini@1.3.5 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72176 verbose linkBins ini@1.3.5
72177 verbose linkMans ini@1.3.5
72178 silly build interpret@1.1.0
72179 info linkStuff interpret@1.1.0
72180 silly linkStuff interpret@1.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72181 verbose linkBins interpret@1.1.0
72182 verbose linkMans interpret@1.1.0
72183 silly build invert-kv@1.0.0
72184 info linkStuff invert-kv@1.0.0
72185 silly linkStuff invert-kv@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72186 verbose linkBins invert-kv@1.0.0
72187 verbose linkMans invert-kv@1.0.0
72188 silly build ipaddr.js@1.5.2
72189 info linkStuff ipaddr.js@1.5.2
72190 silly linkStuff ipaddr.js@1.5.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72191 verbose linkBins ipaddr.js@1.5.2
72192 verbose linkMans ipaddr.js@1.5.2
72193 silly build is-absolute-url@2.1.0
72194 info linkStuff is-absolute-url@2.1.0
72195 silly linkStuff is-absolute-url@2.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72196 verbose linkBins is-absolute-url@2.1.0
72197 verbose linkMans is-absolute-url@2.1.0
72198 silly build is-arrayish@0.2.1
72199 info linkStuff is-arrayish@0.2.1
72200 silly linkStuff is-arrayish@0.2.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72201 verbose linkBins is-arrayish@0.2.1
72202 verbose linkMans is-arrayish@0.2.1
72203 silly build error-ex@1.3.1
72204 info linkStuff error-ex@1.3.1
72205 silly linkStuff error-ex@1.3.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72206 verbose linkBins error-ex@1.3.1
72207 verbose linkMans error-ex@1.3.1
72208 silly build is-binary-path@1.0.1
72209 info linkStuff is-binary-path@1.0.1
72210 silly linkStuff is-binary-path@1.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72211 verbose linkBins is-binary-path@1.0.1
72212 verbose linkMans is-binary-path@1.0.1
72213 silly build is-buffer@1.1.6
72214 info linkStuff is-buffer@1.1.6
72215 silly linkStuff is-buffer@1.1.6 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72216 verbose linkBins is-buffer@1.1.6
72217 verbose linkMans is-buffer@1.1.6
72218 silly build is-builtin-module@1.0.0
72219 info linkStuff is-builtin-module@1.0.0
72220 silly linkStuff is-builtin-module@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72221 verbose linkBins is-builtin-module@1.0.0
72222 verbose linkMans is-builtin-module@1.0.0
72223 silly build is-directory@0.3.1
72224 info linkStuff is-directory@0.3.1
72225 silly linkStuff is-directory@0.3.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72226 verbose linkBins is-directory@0.3.1
72227 verbose linkMans is-directory@0.3.1
72228 silly build is-dotfile@1.0.3
72229 info linkStuff is-dotfile@1.0.3
72230 silly linkStuff is-dotfile@1.0.3 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72231 verbose linkBins is-dotfile@1.0.3
72232 verbose linkMans is-dotfile@1.0.3
72233 silly build is-extendable@0.1.1
72234 info linkStuff is-extendable@0.1.1
72235 silly linkStuff is-extendable@0.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72236 verbose linkBins is-extendable@0.1.1
72237 verbose linkMans is-extendable@0.1.1
72238 silly build is-extglob@1.0.0
72239 info linkStuff is-extglob@1.0.0
72240 silly linkStuff is-extglob@1.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72241 verbose linkBins is-extglob@1.0.0
72242 verbose linkMans is-extglob@1.0.0
72243 silly build extglob@0.3.2
72244 info linkStuff extglob@0.3.2
72245 silly linkStuff extglob@0.3.2 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72246 verbose linkBins extglob@0.3.2
72247 verbose linkMans extglob@0.3.2
72248 silly build is-glob@2.0.1
72249 info linkStuff is-glob@2.0.1
72250 silly linkStuff is-glob@2.0.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72251 verbose linkBins is-glob@2.0.1
72252 verbose linkMans is-glob@2.0.1
72253 silly build glob-parent@2.0.0
72254 info linkStuff glob-parent@2.0.0
72255 silly linkStuff glob-parent@2.0.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72256 verbose linkBins glob-parent@2.0.0
72257 verbose linkMans glob-parent@2.0.0
72258 silly build glob-base@0.3.0
72259 info linkStuff glob-base@0.3.0
72260 silly linkStuff glob-base@0.3.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72261 verbose linkBins glob-base@0.3.0
72262 verbose linkMans glob-base@0.3.0
72263 silly build is-plain-obj@1.1.0
72264 info linkStuff is-plain-obj@1.1.0
72265 silly linkStuff is-plain-obj@1.1.0 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72266 verbose linkBins is-plain-obj@1.1.0
72267 verbose linkMans is-plain-obj@1.1.0
72268 silly build is-posix-bracket@0.1.1
72269 info linkStuff is-posix-bracket@0.1.1
72270 silly linkStuff is-posix-bracket@0.1.1 has D:\Users\quancongjin550\Desktop\vsf-demo\demo\node_modules as its parent node_modules
72271 verbose linkBins is-posix-bracket@0.1.1
72272 verbose linkMans is-posix-bracket@0.1.1
72273 silly build expand-brackets@0.1.5
